team,PA,AB,H,_2B,_3B,HR,BB,HBP,SO,SF,wOBA,ISO,BABIP,wRAA,wRC,wRC+,BatRuns,IP,ER,R,PitchRuns,WAR_proxy
Arkansas,973,799,306,64,4,46,135,26,102,0,0.47313541666666664,0.26282853566958697,0.39938556067588327,99.7299523903331,216.4899523903331,185.4144847467738,99.7299523903331,180.89999999999998,49,76,-49.0,5.072995239033309
Alabama,942,770,262,34,6,54,119,25,112,0,0.4410175054704595,0.2701298701298701,0.3443708609271523,70.24377499529473,183.28377499529472,162.14063605387008,70.24377499529473,198.29999999999998,32,47,-32.0,3.824377499529473
Appalachian State,957,781,249,34,5,55,134,20,130,0,0.42665240641711233,0.2676056338028169,0.32550335570469796,59.40804575378331,174.2480457537833,151.73114398622718,59.40804575378331,185.29999999999998,74,123,-74.0,-1.4591954246216687
Belmont,844,715,212,39,12,22,106,13,126,0,0.3757913669064748,0.18041958041958042,0.3350970017636684,15.065722327530843,116.34572232753084,114.87531825388118,15.065722327530843,177.59999999999997,43,68,-43.0,-2.7934277672469157
Auburn,993,803,265,54,8,48,141,26,145,0,0.4370103092783505,0.26650062266500624,0.3557377049180328,70.58665512286616,189.74665512286617,159.23687069726938,70.58665512286616,193.69999999999996,101,180,-101.0,-3.041334487713384
Arizona State,991,833,268,52,2,52,113,29,97,0,0.41927179487179483,0.2545018007202881,0.3157894736842105,55.15851465328257,174.07851465328258,146.3828747504899,55.15851465328257,207.5,86,146,-86.0,-3.0841485346717428
Arizona,857,717,249,37,6,37,106,18,100,0,0.42868014268727705,0.22315202231520223,0.36551724137931035,54.71141280894142,157.5514128089414,153.2005180950422,54.71141280894142,170.3,92,135,-92.0,-3.728858719105858
Boston University,1080,891,297,47,9,26,140,28,115,0,0.4030500472143532,0.16049382716049382,0.36133333333333334,44.87786874616799,174.47786874616799,134.62798514364812,44.87786874616799,209.39999999999998,95,134,-95.0,-5.012213125383201
Campbell,1024,820,276,44,7,13,141,39,133,0,0.40064000000000005,0.11829268292682926,0.39020771513353114,40.404878277125576,163.28487827712559,132.88157411875454,40.404878277125576,192.9,91,147,-91.0,-5.059512172287443
Central Connecticut,550,490,157,46,1,20,49,2,93,0,0.39029574861367833,0.22040816326530613,0.363395225464191,16.754588255354562,82.75458825535456,125.38573978084027,16.754588255354562,111.5,69,102,-69.0,-5.224541174464544
Central Arkansas,1014,837,263,67,11,22,145,9,126,0,0.39503531786074675,0.18518518518518517,0.3497822931785196,35.068431831871955,156.74843183187195,128.8202102497304,35.068431831871955,201.7,89,135,-89.0,-5.393156816812804
Albany,569,510,152,38,3,12,37,8,60,0,0.34706306306306306,0.1568627450980392,0.319634703196347,-4.057397815294534,64.22260218470547,94.05770677314803,-4.057397815294534,122.3,53,76,-53.0,-5.705739781529454
