team,PA,AB,H,_2B,_3B,HR,BB,HBP,SO,SF,wOBA,ISO,BABIP,wRAA,wRC,wRC+,BatRuns,IP,ER,R,PitchRuns,WAR_proxy
Coastal Carolina,1522,1310,372,52,1,77,163,23,223,0,0.3714973262032086,0.21755725190839695,0.29207920792079206,18.41589631833418,201.05589631833416,110.08316705997272,18.41589631833418,317.6,224,337,-224.0,-20.558410368166584
Arkansas-Pine Bluff,1182,1021,277,38,10,17,113,26,200,0,0.325,0.10675808031341821,0.32338308457711445,-33.4892006875195,108.3507993124805,76.38945241996652,-33.4892006875195,239.7,176,277,-176.0,-20.94892006875195
Bethune-Cookman,1368,1160,340,38,12,4,142,20,144,0,0.32892586989409983,0.06379310344827586,0.33201581027667987,-34.08899663335814,130.07100336664186,79.23428567656059,-34.08899663335814,289.2,179,267,-179.0,-21.308899663335815
Cal Poly,1222,1071,271,45,4,6,96,5,121,0,0.28284982935153585,0.06629318394024276,0.2807203389830508,-79.41164482564216,67.22835517435783,45.845850500789574,-79.41164482564216,272.59999999999997,147,227,-147.0,-22.641164482564214
Alabama State,1559,1325,391,67,25,22,150,33,197,0,0.3536007957559682,0.13811320754716983,0.3336347197106691,-5.397881470505423,181.68211852949457,97.11466673588549,-5.397881470505423,319.59999999999997,223,367,-223.0,-22.83978814705054
Buffalo,1698,1435,443,62,15,34,208,24,218,0,0.3696580683863227,0.13519163763066203,0.34573119188503804,17.829757050902842,221.58975705090285,108.7503715404902,17.829757050902842,336.6,247,357,-247.0,-22.917024294909716
College of Charleston,1499,1307,357,56,12,14,134,31,208,0,0.3189470108695652,0.09334353481254781,0.3161290322580645,-50.36059273176583,129.51940726823418,72.00322841240504,-50.36059273176583,335.70000000000005,181,282,-181.0,-23.13605927317658
BYU,1385,1191,336,54,9,53,139,24,207,0,0.36110782865583463,0.19395465994962216,0.3039742212674543,4.245654868359082,170.44565486835907,102.55454564883217,4.245654868359082,287.2,236,343,-236.0,-23.17543451316409
Cal State Northridge,1252,1097,293,37,5,11,83,45,171,0,0.30497959183673473,0.07292616226071102,0.3081967213114754,-57.26861800633634,92.97138199366364,61.88191027267281,-57.26861800633634,271.4,177,279,-177.0,-23.426861800633635
Bucknell,1191,1034,274,60,7,9,113,18,181,0,0.3142145922746782,0.097678916827853,0.31398104265402843,-44.914125558651946,98.00587444134804,68.5739395755304,-44.914125558651946,244.5,196,318,-196.0,-24.091412555865197
Alcorn State,1219,1063,281,38,11,16,106,14,157,0,0.30990701606086224,0.10159924741298212,0.29775280898876405,-50.536071975559025,95.74392802444098,65.45250753653335,-50.536071975559025,254.89999999999998,192,301,-192.0,-24.2536071975559
Alabama A&M,1589,1341,436,67,22,32,166,42,172,0,0.3864622336991608,0.15436241610738255,0.35532102022867196,39.904181220449935,230.58418122044995,120.92730292660477,39.904181220449935,302.79999999999995,284,433,-284.0,-24.409581877955006
Boston College,1436,1247,346,59,3,38,141,14,291,0,0.33761055634807413,0.14354450681635927,0.3355119825708061,-24.938948706579414,147.38105129342057,85.52753673016514,-24.938948706579414,297.5,221,331,-221.0,-24.59389487065794
Bellarmine,1345,1151,296,41,5,22,145,22,151,0,0.31547040971168433,0.10165073848827107,0.28016359918200406,-49.25290113137804,112.14709886862197,69.48395221104211,-49.25290113137804,286.5,210,327,-210.0,-25.925290113137805
California,1442,1245,328,65,6,42,145,29,245,0,0.33815362931642,0.16305220883534136,0.2985386221294363,-24.362184163552865,148.67781583644714,85.92106786664769,-24.362184163552865,296.9,242,372,-242.0,-26.636218416355284
Bradley,1479,1303,354,68,10,43,135,14,236,0,0.3372658402203857,0.16653875671527243,0.3037109375,-26.129062726825673,151.3509372731743,85.27774243473874,-26.129062726825673,291.4,244,361,-244.0,-27.012906272682567
Abilene Christian,1222,1083,274,49,10,26,104,19,226,0,0.31254560530679937,0.13573407202216067,0.29843561973525873,-47.8566550714404,98.78334492855959,67.3645287292414,-47.8566550714404,265.2,263,395,-263.0,-31.08566550714404
Charleston Southern,1401,1256,311,44,11,7,99,13,164,0,0.27753654970760233,0.06926751592356688,0.280184331797235,-97.51691681733418,70.60308318266583,41.995647860258046,-97.51691681733418,317.5,235,353,-235.0,-33.25169168173342
