team,PA,AB,H,_2B,_3B,HR,BB,HBP,SO,SF,wOBA,ISO,BABIP,wRAA,wRC,wRC+,BatRuns,IP,ER,R,PitchRuns,WAR_proxy
Alabama,822,664,237,31,4,47,107,24,91,0,0.45571069182389934,0.2710843373493976,0.3612167300380228,75.61535282162045,174.25535282162045,176.65790026522757,75.61535282162045,171.29999999999998,26,37,-26.0,4.961535282162044
Arkansas,845,700,266,56,2,43,113,21,97,0,0.4712829736211032,0.27,0.3982142857142857,89.173352711234,190.573352711234,187.9421624371144,89.173352711234,157.59999999999997,43,64,-43.0,4.6173352711234
Appalachian State,864,707,218,29,5,43,117,19,125,0,0.4088849347568208,0.2376237623762376,0.3246753246753247,44.29851612024368,147.97851612024368,142.7261922456054,44.29851612024368,168.29999999999998,53,93,-53.0,-0.8701483879756318
Arizona,795,663,232,34,6,37,100,16,86,0,0.43522464698331187,0.2368024132730015,0.3611111111111111,58.96954498496877,154.36954498496877,161.8129402358163,58.96954498496877,158.29999999999998,75,111,-75.0,-1.6030455015031229
Campbell,853,682,234,39,7,11,117,34,102,0,0.40807923169267707,0.12609970674486803,0.39191564147627417,43.13690889241508,145.4969088924151,142.14234944550128,43.13690889241508,161.6,63,104,-63.0,-1.986309110758492
Arizona State,889,744,237,45,2,44,106,24,87,0,0.41437070938215104,0.24327956989247312,0.31484502446982054,49.82104418493235,156.50104418493234,146.7013912494679,49.82104418493235,189.6,73,126,-73.0,-2.3178955815067654
Belmont,747,629,181,35,11,18,95,13,124,0,0.36955223880597016,0.17647058823529413,0.3347022587268994,12.750607533060304,102.3906075330603,114.22423865803249,12.750607533060304,159.29999999999998,41,65,-41.0,-2.82493924669397
Auburn,928,761,251,49,8,45,121,25,136,0,0.4323153252480706,0.2628120893561104,0.35517241379310344,66.48719409851469,177.8471940985147,159.70473607984442,66.48719409851469,181.69999999999996,97,175,-97.0,-3.0512805901485307
Austin Peay,849,724,219,39,4,44,94,15,102,0,0.39723889555822334,0.2472375690607735,0.3027681660899654,34.93162963407561,136.81162963407562,134.287033406042,34.93162963407561,171.29999999999998,75,122,-75.0,-4.006837036592438
Albany,414,373,107,30,2,7,25,7,50,0,0.3343703703703703,0.14745308310991956,0.31645569620253167,-5.5988708715054125,44.08112912849459,88.7301310960036,-5.5988708715054125,93.3,35,48,-35.0,-4.059887087150541
Ball State,689,561,164,28,7,12,96,19,64,0,0.37093195266272183,0.13903743315508021,0.3134020618556701,12.587229085332465,95.26722908533246,115.22403130785253,12.587229085332465,137.4,56,91,-56.0,-4.341277091466753
Central Arkansas,885,734,225,57,10,19,125,9,118,0,0.3882373271889401,0.18256130790190736,0.34505862646566166,29.48553555824649,135.6855355582465,127.76415777612667,29.48553555824649,180.7,75,111,-75.0,-4.551446444175351
Baylor,776,655,199,36,5,17,85,18,66,0,0.369221635883905,0.1480916030534351,0.3181818181818182,13.022525936166302,106.1425259361663,113.98467132320265,13.022525936166302,164.89999999999998,59,87,-59.0,-4.59774740638337
Central Michigan,665,588,192,35,5,15,56,1,96,0,0.37054263565891477,0.15306122448979592,0.3710691823899371,11.923650194508314,91.72365019450831,114.94191753697784,11.923650194508314,134.4,58,100,-58.0,-4.607634980549169
Boston University,910,754,245,40,9,19,116,24,99,0,0.3937360178970918,0.15251989389920426,0.3553459119496855,34.66959815624161,143.8695981562416,131.74871626029451,34.66959815624161,178.69999999999996,85,121,-85.0,-5.033040184375839
Butler,668,547,182,36,1,15,95,7,74,0,0.3992912172573189,0.15173674588665448,0.3646288209606987,28.67661719132315,108.83661719132314,135.77422304306782,28.67661719132315,121.19999999999999,87,148,-87.0,-5.832338280867686
Canisius,402,346,90,18,0,7,38,11,65,0,0.3206582278481013,0.11271676300578035,0.3029197080291971,-10.229872840985392,38.0101271590146,78.79379593493906,-10.229872840985392,85.5,49,78,-49.0,-5.922987284098539
Bowling Green,780,622,167,28,1,18,108,27,108,0,0.35632760898282695,0.13504823151125403,0.3004032258064516,4.34413846039517,97.94413846039517,104.64117356879828,4.34413846039517,150.5,70,116,-70.0,-6.565586153960483
Cal State Fullerton,676,595,176,17,2,19,50,9,95,0,0.3398929663608563,0.13109243697478992,0.3264033264033264,-5.895791663992727,75.22420833600727,92.73201224852967,-5.895791663992727,153.79999999999998,60,87,-60.0,-6.589579166399273
Central Connecticut,347,322,80,27,0,7,23,1,68,0,0.2998265895953757,0.14906832298136646,0.29554655870445345,-15.115983784600733,26.524016215399268,63.69840589673215,-15.115983784600733,76.5,54,82,-54.0,-6.911598378460073
California Baptist,927,785,226,41,9,23,92,29,105,0,0.3611479028697572,0.16305732484076432,0.3089802130898021,9.048417506787114,120.28841750678711,108.13414015353031,9.048417506787114,196.39999999999998,79,112,-79.0,-6.995158249321288
Columbia,513,445,114,24,0,9,50,12,65,0,0.31739644970414205,0.1146067415730337,0.2830188679245283,-14.509575907539407,47.05042409246059,76.43018858424398,-14.509575907539407,104.9,56,92,-56.0,-7.050957590753941
Colorado State,811,696,189,35,2,12,76,18,90,0,0.32546835443037975,0.10775862068965517,0.29797979797979796,-17.245692875919172,80.07430712408082,82.27939490760463,-17.245692875919172,175.49999999999997,58,94,-58.0,-7.524569287591918
Brown,232,217,47,9,0,3,8,1,37,0,0.23761061946902653,0.08294930875576037,0.24858757062146894,-22.657759510795866,5.182240489204133,18.61436957329071,-22.657759510795866,55.4,57,93,-57.0,-7.965775951079587
Colgate,719,615,156,35,2,31,76,18,152,0,0.3511001410437235,0.2146341463414634,0.28935185185185186,0.7361006871457645,87.01610068714577,100.85315332307113,0.7361006871457645,149.5,87,157,-87.0,-8.626389931285424
Binghamton,614,535,154,38,1,19,59,12,125,0,0.36072607260726075,0.18130841121495328,0.3452685421994885,5.76801378584043,79.44801378584042,107.82846605027201,5.76801378584043,121.6,95,148,-95.0,-8.923198621415958
Boise State,813,695,188,39,2,23,81,19,147,0,0.34437735849056605,0.16115107913669063,0.3142857142857143,-3.920378588200513,93.6396214117995,95.98157176281211,-3.920378588200513,173.39999999999998,86,130,-86.0,-8.992037858820051
Bellarmine,712,606,179,25,4,14,78,13,79,0,0.35299856527977047,0.12376237623762376,0.3216374269005848,1.9043064218975692,87.34430642189757,102.22882305933705,1.9043064218975692,143.70000000000002,94,148,-94.0,-9.209569357810242
Alcorn State,506,438,118,23,3,7,47,5,71,0,0.32006122448979596,0.1141552511415525,0.30833333333333335,-13.139088585959334,47.58091141404066,78.36118480573232,-13.139088585959334,103.7,82,131,-82.0,-9.513908858595933
Army,695,619,158,32,6,13,58,7,117,0,0.31073099415204675,0.13408723747980614,0.2965235173824131,-23.685476293528552,59.71452370647144,71.60014832910245,-23.685476293528552,147.59999999999997,72,109,-72.0,-9.568547629352855
Boston College,807,708,207,35,2,17,71,8,160,0,0.3399364675984752,0.1271186440677966,0.3578154425612053,-7.007792817864358,89.83220718213565,92.76353488448538,-7.007792817864358,167.1,92,147,-92.0,-9.900779281786436
Chattanooga,774,675,199,27,6,8,65,13,90,0,0.33215139442231073,0.09333333333333334,0.3310225303292894,-11.960921528291095,80.9190784717089,87.12217751045317,-11.960921528291095,157.3,90,148,-90.0,-10.19609215282911
Coastal Carolina,828,706,209,33,0,41,90,18,124,0,0.384987714987715,0.22096317280453256,0.31053604436229204,25.246746381477347,124.60674638147735,125.40936632596353,25.246746381477347,172.79999999999998,128,187,-128.0,-10.275325361852264
Charlotte,839,740,224,36,9,24,70,15,115,0,0.36294545454545446,0.17027027027027028,0.33277870216306155,9.500883485626506,110.1808834856265,109.43671383157184,9.500883485626506,178.6,115,170,-115.0,-10.54991165143735
Alabama A&M,950,774,256,44,10,25,118,31,85,0,0.4080606717226436,0.17958656330749354,0.34789156626506024,48.02694621871334,162.02694621871333,142.12890019185383,48.02694621871334,176.79999999999998,156,245,-156.0,-10.797305378128666
Buffalo,686,570,161,19,4,12,91,13,94,0,0.34862017804154305,0.11052631578947368,0.32112068965517243,-0.7770360274876695,81.54296397251233,99.05607868380993,-0.7770360274876695,131.70000000000002,109,156,-109.0,-10.977703602748766
Akron,804,703,179,28,4,17,77,10,138,0,0.31334177215189873,0.12375533428165007,0.2956204379562044,-25.57490253392456,70.90509746607543,73.49201644493722,-25.57490253392456,173.1,87,134,-87.0,-11.257490253392456
Cal State Northridge,640,567,166,20,3,6,36,21,82,0,0.3210416666666666,0.07760141093474426,0.33402922755741127,-16.07297268380869,60.72702731619131,79.07165015129077,-16.07297268380869,136.6,103,154,-103.0,-11.90729726838087
College of Charleston,723,636,170,19,6,9,63,14,110,0,0.3118373071528752,0.09119496855345911,0.3114119922630561,-23.944177136106372,62.815822863893615,72.40182441665931,-23.944177136106372,165.3,98,163,-98.0,-12.194417713610637
