team,PA,AB,H,_2B,_3B,HR,BB,HBP,SO,SF,wOBA,ISO,BABIP,wRAA,wRC,wRC+,BatRuns,IP,ER,R,PitchRuns,WAR_proxy
Alabama,398,326,122,21,2,29,48,12,40,0,0.48800518134715026,0.34355828220858897,0.36186770428015563,48.36905836882491,96.1290583688249,201.27524784092316,48.36905836882491,79.60000000000001,8,12,-8.0,4.036905836882491
Arkansas,455,377,153,39,1,19,59,12,39,0,0.4868303571428572,0.259946949602122,0.4200626959247649,54.83146357074985,109.43146357074986,200.42392595375432,54.83146357074985,81.3,17,23,-17.0,3.7831463570749846
Auburn,549,452,167,34,5,30,65,18,70,0,0.47014953271028037,0.29646017699115046,0.38920454545454547,58.19600188486839,124.07600188486839,188.33637201710442,58.19600188486839,98.90000000000002,43,93,-43.0,1.5196001884868386
Arizona State,496,411,136,28,1,23,59,16,49,0,0.4247736625514403,0.24087591240875914,0.3333333333333333,33.00699853868082,92.52699853868081,155.45530668461157,33.00699853868082,104.3,35,59,-35.0,-0.19930014613191815
Appalachian State,440,361,109,15,2,20,57,10,69,0,0.3969392523364486,0.2188365650969529,0.3272058823529412,18.630714542869413,71.43071454286941,135.28544420997994,18.630714542869413,88.2,26,42,-26.0,-0.7369285457130588
Ball State,270,210,66,9,2,3,45,7,23,0,0.38725190839694656,0.10476190476190476,0.3423913043478261,9.158064042585197,41.558064042585194,128.2656297610654,9.158064042585197,49.6,17,30,-17.0,-0.7841935957414803
Albany,124,115,34,12,1,2,6,1,15,0,0.34204918032786885,0.17391304347826086,0.32653061224489793,-0.668107579001845,14.211892420998154,95.51002971100911,-0.668107579001845,24.599999999999998,9,14,-9.0,-0.9668107579001844
Central Michigan,332,293,101,23,3,6,28,1,53,0,0.38810559006211176,0.16040955631399317,0.405982905982906,11.507481081882242,51.347481081882236,128.88423966335904,11.507481081882242,65.3,28,44,-28.0,-1.649251891811776
Central Connecticut,165,153,45,17,0,5,11,1,19,0,0.35848484848484846,0.20915032679738563,0.31007751937984496,1.4691469661725298,21.26914696617253,107.41993417258855,1.4691469661725298,33.300000000000004,18,31,-18.0,-1.6530853033827468
Charlotte,491,423,146,27,7,18,49,6,63,0,0.41717573221757315,0.22458628841607564,0.3742690058479532,29.43028079080901,88.35028079080901,149.9495600658673,29.43028079080901,103.0,47,72,-47.0,-1.7569719209190988
Campbell,441,346,120,24,4,7,66,15,62,0,0.42140515222482433,0.1531791907514451,0.40794223826714804,28.055197815724604,80.9751978157246,153.01435717257107,28.055197815724604,86.7,46,71,-46.0,-1.7944802184275397
California Baptist,486,411,131,26,4,10,51,14,49,0,0.3832352941176471,0.15571776155717762,0.34375,14.78705915514072,73.10705915514072,125.35503970360207,14.78705915514072,101.29999999999998,38,51,-38.0,-2.3212940844859284
Bowling Green,336,265,80,12,0,9,49,10,49,0,0.38509259259259254,0.1471698113207547,0.34299516908212563,10.765806171606839,51.08580617160684,126.70090816370745,10.765806171606839,59.6,36,57,-36.0,-2.523419382839316
Central Arkansas,437,367,105,23,5,8,58,5,63,0,0.3617906976744187,0.1553133514986376,0.3277027027027027,5.147236172142112,57.58723617214211,109.81547706358145,5.147236172142112,93.19999999999999,33,52,-33.0,-2.785276382785789
Brown,88,85,16,4,0,0,2,1,15,0,0.19886363636363635,0.047058823529411764,0.22857142857142856,-11.430947704997838,-0.8709477049978389,-8.247610842782565,-11.430947704997838,22.3,20,35,-20.0,-3.1430947704997836
Belmont,402,346,95,13,7,7,44,6,79,0,0.3397222222222222,0.13872832369942195,0.3384615384615385,-2.9793852834700356,45.26061471652996,93.82382818517819,-2.9793852834700356,83.29999999999998,29,43,-29.0,-3.1979385283470037
Baylor,444,378,117,20,2,9,44,11,44,0,0.3662124711316398,0.1349206349206349,0.3323076923076923,6.936875236003304,60.216875236003304,113.01966072823444,6.936875236003304,93.60000000000001,40,58,-40.0,-3.3063124763996696
