team,PA,AB,H,_2B,_3B,HR,BB,HBP,SO,SF,wOBA,ISO,BABIP,wRAA,wRC,wRC+,BatRuns,IP,ER,R,PitchRuns,WAR_proxy
Arizona,512,429,136,23,5,16,65,9,55,0,0.3954075546719682,0.1888111888111888,0.33519553072625696,20.99743848416475,82.43743848416474,134.17551836615357,20.99743848416475,103.60000000000001,56,81,-56.0,-3.5002561515835255
Canisius,230,199,54,11,0,5,24,5,42,0,0.33600877192982453,0.1306532663316583,0.3223684210526316,-2.4473134793703504,25.152686520629647,91.13292217619437,-2.4473134793703504,49.50000000000001,35,52,-35.0,-3.744731347937035
Alabama A&M,493,382,131,23,4,11,72,19,31,0,0.42384778012684987,0.16753926701570682,0.35294117647058826,32.41043766477007,91.57043766477007,154.78437739143013,32.41043766477007,88.80000000000001,71,116,-71.0,-3.858956233522993
Alcorn State,244,213,59,11,1,5,21,3,33,0,0.329704641350211,0.13145539906103287,0.30857142857142855,-3.933852440223941,25.346147559776057,86.56471161125702,-3.933852440223941,46.7,35,59,-35.0,-3.8933852440223946
Butler,398,315,100,17,1,9,66,5,46,0,0.395958549222798,0.14603174603174604,0.35,16.512919598831687,64.27291959883169,134.57478977979835,16.512919598831687,72.30000000000001,57,104,-57.0,-4.048708040116831
Cal Poly,254,221,55,7,0,2,24,0,38,0,0.28228571428571425,0.058823529411764705,0.292817679558011,-14.568473704699441,15.91152629530056,52.203170260172435,-14.568473704699441,56.3,26,46,-26.0,-4.056847370469944
Boise State,482,407,115,27,1,9,52,12,94,0,0.3502547770700637,0.1375921375921376,0.34868421052631576,0.8422165150545493,58.68221651505455,101.45611430680248,0.8422165150545493,97.2,42,68,-42.0,-4.115778348494545
Austin Peay,486,412,116,21,4,19,52,9,57,0,0.36856236786469343,0.2087378640776699,0.28869047619047616,8.586152929979422,66.90615292997943,114.72248444783853,8.586152929979422,96.89999999999999,50,82,-50.0,-4.141384707002058
Bucknell,281,238,73,19,1,2,33,6,32,0,0.36274368231046933,0.1134453781512605,0.3480392156862745,3.5426385899529094,37.26263858995291,110.50604564042973,3.5426385899529094,52.2,46,76,-46.0,-4.245736141004709
Binghamton,257,230,57,10,0,9,19,6,60,0,0.31545098039215685,0.1608695652173913,0.2981366459627329,-7.32882630101869,23.51117369898131,76.23597178658012,-7.32882630101869,53.50000000000001,37,66,-37.0,-4.43288263010187
Chattanooga,418,359,102,15,5,5,43,8,45,0,0.33797560975609753,0.11142061281337047,0.313915857605178,-3.7328234439147137,46.427176556085286,92.55816697784148,-3.7328234439147137,85.30000000000001,41,65,-41.0,-4.473282344391471
Coastal Carolina,423,359,105,19,0,17,48,10,72,0,0.37664268585131894,0.19498607242339833,0.32592592592592595,10.44528485210769,61.20528485210769,120.57778733669757,10.44528485210769,86.80000000000001,59,83,-59.0,-4.855471514789231
Columbia,274,235,56,11,0,2,29,6,38,0,0.29362962962962963,0.07234042553191489,0.27692307692307694,-13.012786484339813,19.867213515660183,60.42339877025603,-13.012786484339813,53.6,36,58,-36.0,-4.901278648433982
Army,363,317,83,19,2,4,36,2,57,0,0.3132957746478873,0.11041009463722397,0.30859375,-11.031906068174255,32.52809393182574,74.67422849363118,-11.031906068174255,72.9,39,62,-39.0,-5.003190606817425
Arkansas-Pine Bluff,218,192,42,4,0,1,19,5,64,0,0.2583796296296296,0.036458333333333336,0.3228346456692913,-17.0354127947445,9.124587205255501,34.87992050938647,-17.0354127947445,48.6,37,56,-37.0,-5.40354127947445
Colorado State,453,394,102,19,0,5,37,10,57,0,0.3036281179138322,0.08629441624365482,0.2921686746987952,-17.575305478276842,36.784694521723154,67.66868013562022,-17.575305478276842,94.7,37,61,-37.0,-5.457530547827685
Bryant,240,203,36,5,1,3,28,5,59,0,0.2543220338983051,0.07881773399014778,0.23404255319148937,-19.601385480703552,9.198614519296445,31.9396337475571,-19.601385480703552,54.300000000000004,38,56,-38.0,-5.760138548070356
Boston College,446,389,108,16,2,5,44,4,91,0,0.32013729977116706,0.08997429305912596,0.3515358361774744,-10.901030992832274,42.61896900716772,79.63185539455853,-10.901030992832274,94.3,47,83,-47.0,-5.790103099283227
Cal State Fullerton,448,410,114,17,1,10,25,4,84,0,0.31227790432801816,0.11951219512195121,0.3291139240506329,-14.011661634259859,39.74833836574014,73.93664130532021,-14.011661634259859,101.50000000000001,50,71,-50.0,-6.401166163425986
Bellarmine,452,387,116,15,4,9,50,7,52,0,0.3569594594594595,0.12919896640826872,0.3282208588957055,3.425028086972188,57.665028086972185,106.31457980636465,3.425028086972188,87.7,68,106,-68.0,-6.457497191302781
College of Charleston,490,428,126,13,3,8,46,9,75,0,0.33821946169772255,0.10046728971962617,0.34202898550724636,-4.271895685380289,54.52810431461971,92.73487128336686,-4.271895685380289,107.1,63,111,-63.0,-6.727189568538028
Colgate,401,350,84,17,1,16,42,5,90,0,0.32725440806045336,0.19142857142857142,0.2786885245901639,-7.319446467613385,40.800553532386616,84.78918024186746,-7.319446467613385,84.2,60,110,-60.0,-6.731944646761339
Akron,443,383,97,14,2,11,41,9,86,0,0.3177829099307159,0.13315926892950392,0.3006993006993007,-11.734657584704742,41.425342415295255,77.9257758000287,-11.734657584704742,93.3,58,93,-58.0,-6.973465758470473
Boston University,391,332,83,13,1,5,43,9,51,0,0.3105729166666667,0.09036144578313253,0.2826086956521739,-12.80862370440326,34.11137629559674,72.70114299999307,-12.80862370440326,80.6,57,79,-57.0,-6.980862370440326
Alabama State,442,375,103,17,7,4,47,12,61,0,0.3366820276497696,0.11466666666666667,0.3193548387096774,-4.444333705384996,48.595666294615,91.62078863992271,-4.444333705384996,93.3,66,108,-66.0,-7.044433370538499
BYU,401,348,85,15,4,11,39,7,83,0,0.3200253807106599,0.16091954022988506,0.29133858267716534,-9.840176873932673,38.27982312606733,79.55075462607508,-9.840176873932673,83.60000000000001,65,102,-65.0,-7.484017687393267
Buffalo,463,399,114,8,2,5,48,8,59,0,0.3248351648351648,0.06766917293233082,0.3253731343283582,-9.425139817017241,46.134860182982756,83.03610544093368,-9.425139817017241,90.49999999999999,66,100,-66.0,-7.542513981701724
California,478,419,112,20,1,14,39,12,73,0,0.3323404255319149,0.15274463007159905,0.29518072289156627,-6.610911994692126,50.749088005307875,88.47470014872364,-6.610911994692126,96.7,69,111,-69.0,-7.561091199469213
Bradley,373,338,93,22,3,10,31,1,61,0,0.3352162162162162,0.17159763313609466,0.31086142322097376,-4.225967756697046,40.53403224330295,90.55860644169562,-4.225967756697046,71.4,73,104,-73.0,-7.722596775669705
Cal State Northridge,335,295,82,11,0,4,19,12,53,0,0.31128834355828217,0.07796610169491526,0.3277310924369748,-10.765733549923505,29.434266450076493,73.21956828377238,-10.765733549923505,71.5,74,104,-74.0,-8.47657335499235
Charleston Southern,380,344,87,12,3,4,21,7,54,0,0.28508064516129034,0.0872093023255814,0.2902097902097902,-20.871811985084054,24.728188014915947,54.22848248885076,-20.871811985084054,90.3,65,101,-65.0,-8.587181198508405
Abilene Christian,385,343,85,13,4,7,31,6,83,0,0.30207894736842106,0.12244897959183673,0.308300395256917,-15.455705133850664,30.744294866149332,66.54609278387302,-15.455705133850664,83.5,73,114,-73.0,-8.845570513385066
Bethune-Cookman,391,338,76,6,3,1,35,9,68,0,0.2673298429319371,0.04437869822485207,0.2788104089219331,-27.511268774211317,19.408731225788685,41.36558232265278,-27.511268774211317,86.5,77,112,-77.0,-10.451126877421132
