team,PA,AB,H,_2B,_3B,HR,BB,HBP,SO,SF,wOBA,ISO,BABIP,wRAA,wRC,wRC+,BatRuns,IP,ER,R,PitchRuns,WAR_proxy
Arkansas,1010,830,319,70,4,49,141,26,104,0,0.47654964894684054,0.2710843373493976,0.3988183161004431,106.11977506375779,227.3197750637578,187.55757018461864,106.11977506375779,186.89999999999998,51,78,-51.0,5.5119775063757785
Alabama,942,770,262,34,6,54,119,25,112,0,0.4410175054704595,0.2701298701298701,0.3443708609271523,69.86961720212685,182.90961720212684,161.80964012927004,69.86961720212685,198.29999999999998,32,47,-32.0,3.786961720212685
Appalachian State,957,781,249,34,5,55,134,20,130,0,0.42665240641711233,0.2676056338028169,0.32550335570469796,59.027930033972645,173.86793003397264,151.4001480616272,59.027930033972645,185.29999999999998,74,123,-74.0,-1.4972069966027355
Auburn,1027,827,275,55,8,49,148,26,145,0,0.4384415584415584,0.26360338573155984,0.3570300157977883,73.87376780080683,197.11376780080684,159.94301184745768,73.87376780080683,200.69999999999996,102,183,-102.0,-2.812623219919317
Arizona State,991,833,268,52,2,52,113,29,97,0,0.41927179487179483,0.2545018007202881,0.3157894736842105,54.764894299748214,173.6848942997482,146.05187882588984,54.764894299748214,207.5,86,146,-86.0,-3.1235105700251786
Belmont,904,772,230,41,12,25,107,15,129,0,0.37492170022371357,0.18134715025906736,0.33171521035598706,15.09404722696404,123.57404722696403,113.91412908090344,15.09404722696404,191.59999999999997,48,77,-48.0,-3.2905952773035962
Arizona,928,776,273,38,6,39,115,20,110,0,0.4298353457738749,0.21520618556701032,0.37320574162679426,59.80769855366772,171.16769855366772,153.70662585638266,59.80769855366772,184.3,99,144,-99.0,-3.919230144633228
Boston University,1080,891,297,47,9,26,140,28,115,0,0.4030500472143532,0.16049382716049382,0.36133333333333334,44.448898027886344,174.04889802788634,134.2969892190481,44.448898027886344,209.39999999999998,95,134,-95.0,-5.0551101972113655
Campbell,1024,820,276,44,7,13,141,39,133,0,0.40064000000000005,0.11829268292682926,0.39020771513353114,39.99815048497705,162.87815048497706,132.5505781941545,39.99815048497705,192.9,91,147,-91.0,-5.100184951502294
Central Connecticut,550,490,157,46,1,20,49,2,93,0,0.39029574861367833,0.22040816326530613,0.363395225464191,16.53613094511854,82.53613094511854,125.05474385624022,16.53613094511854,111.5,69,102,-69.0,-5.246386905488146
Central Arkansas,1014,837,263,67,11,22,145,9,126,0,0.39503531786074675,0.18518518518518517,0.3497822931785196,34.665675990818634,156.34567599081862,128.48921432513038,34.665675990818634,201.7,89,135,-89.0,-5.433432400918137
Albany,569,510,152,38,3,12,37,8,60,0,0.34706306306306306,0.1568627450980392,0.319634703196347,-4.283401832611436,63.99659816738856,93.726710848548,-4.283401832611436,122.3,53,76,-53.0,-5.728340183261144
Central Michigan,813,712,229,44,6,19,75,2,116,0,0.37181242078580484,0.15870786516853932,0.36395147313691506,11.376498954790433,108.93649895479044,111.6610280389406,11.376498954790433,164.7,70,117,-70.0,-5.8623501045209565
Butler,798,647,217,43,1,19,113,10,80,0,0.40399999999999997,0.15765069551777433,0.3613138686131387,33.50198150480925,129.26198150480923,134.98536080285007,33.50198150480925,147.5,94,162,-94.0,-6.049801849519075
Austin Peay,995,845,243,42,4,50,109,24,120,0,0.38466257668711656,0.23668639053254437,0.2859259259259259,25.041445845282155,144.44144584528215,120.97273521380414,25.041445845282155,202.59999999999997,90,142,-90.0,-6.495855415471785
Ball State,834,687,199,34,7,13,109,23,93,0,0.36184371184371195,0.12663755458515283,0.32013769363166955,4.440875767714799,104.5208757677148,104.4373259069892,4.440875767714799,166.7,70,109,-70.0,-6.55591242322852
Baylor,891,746,222,42,5,18,103,23,87,0,0.3660550458715597,0.14209115281501342,0.31825273010920435,8.007257223937497,114.9272572239375,107.48901723151656,8.007257223937497,188.39999999999998,76,110,-76.0,-6.79927427760625
Cal State Fullerton,859,756,233,28,2,27,62,10,107,0,0.3545772946859903,0.14947089947089948,0.3311897106109325,-0.8537021407128185,102.22629785928719,99.17180622748077,-0.8537021407128185,195.49999999999997,72,108,-72.0,-7.285370214071281
Bowling Green,867,700,187,34,2,19,114,27,127,0,0.3510939357907253,0.1357142857142857,0.30324909747292417,-3.4878025071853274,100.55219749281467,96.64763311496989,-3.4878025071853274,169.49999999999997,73,119,-73.0,-7.6487802507185325
Colorado State,954,808,227,41,5,15,97,23,111,0,0.34030172413793097,0.1188118811881188,0.31085043988269795,-12.790633015865755,101.68936698413424,88.82718988830734,-12.790633015865755,202.79999999999998,75,120,-75.0,-8.779063301586575
Columbia,717,605,152,34,2,13,83,19,100,0,0.327001414427157,0.12727272727272726,0.28252032520325204,-17.905539787600297,68.13446021239969,79.18928430078996,-17.905539787600297,147.6,70,112,-70.0,-8.79055397876003
California Baptist,1093,922,262,50,11,25,107,34,121,0,0.35685794920037633,0.1594360086767896,0.30541237113402064,1.0813544255498069,132.24135442554982,100.82445442631125,1.0813544255498069,233.39999999999998,89,126,-89.0,-8.79186455744502
Canisius,551,483,118,23,1,10,48,12,94,0,0.30279926335174956,0.11387163561076605,0.2849604221635884,-25.35603238775202,40.76396761224798,61.65149366643675,-25.35603238775202,118.39999999999999,64,109,-64.0,-8.935603238775203
Binghamton,614,535,154,38,1,19,59,12,125,0,0.36072607260726075,0.18130841121495328,0.3452685421994885,2.672699562025271,76.35269956202526,103.62744240231443,2.672699562025271,121.6,95,148,-95.0,-9.232730043797472
Colgate,956,821,225,51,3,47,100,23,193,0,0.37395127118644067,0.24116930572472595,0.306368330464716,15.155567003670768,129.87556700367077,113.21091963360423,15.155567003670768,193.5,109,186,-109.0,-9.384443299632924
