team,PA,AB,H,_2B,_3B,HR,BB,HBP,SO,SF,wOBA,ISO,BABIP,wRAA,wRC,wRC+,BatRuns,IP,ER,R,PitchRuns,WAR_proxy
Arkansas,1239,1019,372,75,4,61,171,30,131,0,0.4587049180327869,0.26104023552502453,0.37605804111245467,109.70532991227918,258.3853299122792,173.78620521406992,109.70532991227918,237.89999999999998,60,98,-60.0,4.970532991227918
Alabama,1290,1059,369,51,9,70,164,31,147,0,0.4443301435406699,0.26345609065155806,0.35510688836104515,98.09629863239685,252.89629863239685,163.3697019589127,98.09629863239685,268.29999999999995,49,69,-49.0,4.909629863239685
Boston University,1423,1175,401,65,14,43,181,44,148,0,0.4182785714285714,0.18893617021276596,0.3638211382113821,75.97411426893828,246.73411426893827,144.4917511530442,75.97411426893828,274.69999999999993,108,154,-108.0,-3.202588573106172
Belmont,1195,1027,308,62,15,32,134,18,170,0,0.37424088210347745,0.1830574488802337,0.33454545454545453,18.040267898259067,161.44026789825907,112.58038207688918,18.040267898259067,251.59999999999997,57,90,-57.0,-3.8959732101740934
Arizona State,1372,1151,367,75,3,70,152,45,134,0,0.416906528189911,0.2528236316246742,0.3136219640971489,71.61431186059625,236.25431186059623,143.49751692213084,71.61431186059625,284.2,114,192,-114.0,-4.238568813940375
Appalachian State,1241,1014,315,47,7,64,171,28,165,0,0.4151195383347073,0.2495069033530572,0.3197452229299363,62.84810706103925,211.76810706103925,142.20259673720068,62.84810706103925,238.3,106,178,-106.0,-4.315189293896075
Arizona,1225,1039,364,53,7,51,139,22,136,0,0.4232916666666667,0.21174205967276227,0.3673708920187793,70.74291042685908,217.74291042685908,148.1244288618089,70.74291042685908,244.2,133,191,-133.0,-6.225708957314092
Cal State Fullerton,1187,1032,344,49,4,37,93,19,119,0,0.3828496503496503,0.16279069767441862,0.3504566210045662,26.805242237457602,169.2452422374576,118.81861993643471,26.805242237457602,259.4,93,138,-93.0,-6.619475776254239
Austin Peay,1320,1127,347,59,5,62,138,34,145,0,0.39555812163202464,0.22626441881100265,0.30978260869565216,44.39580884255966,202.79580884255967,128.02765709757554,44.39580884255966,265.3,115,180,-115.0,-7.060419115744034
Campbell,1351,1087,353,56,8,16,182,47,176,0,0.38757598784194525,0.11039558417663294,0.376536312849162,36.06116572972228,198.1811657297223,122.24350217722817,36.06116572972228,258.2,108,172,-108.0,-7.193883427027771
Albany,961,844,263,60,4,20,70,19,98,0,0.36157556270096464,0.15165876777251186,0.3347107438016529,3.9238949190557104,119.2438949190557,103.40261439390888,3.9238949190557104,203.2,82,119,-82.0,-7.807610508094429
Central Michigan,1160,1016,324,60,8,27,105,3,153,0,0.36776690391459077,0.1545275590551181,0.35526315789473684,10.98161819963099,150.18161819963098,107.88909353421765,10.98161819963099,238.39999999999998,94,159,-94.0,-8.301838180036901
Auburn,1297,1058,314,60,8,51,177,33,205,0,0.3957965299684542,0.21644612476370512,0.327930174563591,43.89112864783976,199.53112864783975,128.20041676165494,43.89112864783976,265.4,131,233,-131.0,-8.710887135216023
Central Arkansas,1325,1084,330,77,17,28,202,14,162,0,0.39001538461538465,0.17988929889298894,0.3378076062639821,38.17777778771208,197.17777778771207,124.01118099856106,38.17777778771208,266.7,128,189,-128.0,-8.982222221228792
Central Connecticut,994,880,266,70,3,33,94,3,177,0,0.37057318321392013,0.19886363636363635,0.34776119402985073,11.835712179382991,131.115712179383,109.92262925836937,11.835712179382991,205.5,107,158,-107.0,-9.5164287820617
California Baptist,1436,1209,355,73,11,33,134,40,154,0,0.36178597252349964,0.16046319272125723,0.3150684931506849,6.126122954157915,178.44612295415791,103.55508527980379,6.126122954157915,311.40000000000003,108,153,-108.0,-10.187387704584207
Columbia,997,848,226,44,3,25,106,24,135,0,0.33986707566462165,0.1474056603773585,0.2921511627906977,-14.749426552374345,104.89057344762566,87.67182668641395,-14.749426552374345,207.59999999999997,88,136,-88.0,-10.274942655237435
Binghamton,888,765,228,59,1,29,92,18,151,0,0.37558857142857144,0.1934640522875817,0.3401709401709402,14.446305680857849,121.00630568085785,113.5569685443486,14.446305680857849,176.79999999999998,131,203,-131.0,-11.655369431914215
Bowling Green,1250,1004,269,49,6,20,166,42,175,0,0.34874587458745876,0.1205179282868526,0.30778739184178,-8.841391575990908,141.1586084240091,94.1057389493394,-8.841391575990908,243.5,116,190,-116.0,-12.484139157599092
Canisius,883,771,200,35,5,15,79,17,148,0,0.315282583621684,0.11673151750972763,0.3042763157894737,-31.939546768218346,74.02045323178164,69.85697737993738,-31.939546768218346,189.9,94,161,-94.0,-12.593954676821834
Charlotte,1282,1114,340,55,11,40,120,24,155,0,0.3712400635930048,0.17684021543985637,0.3264417845484222,16.008399499759424,169.84839949975944,110.40587590988005,16.008399499759424,269.5,142,218,-142.0,-12.599160050024057
Butler,1106,908,275,53,3,20,147,12,127,0,0.3679475164011246,0.13105726872246695,0.33508541392904073,10.6441070343584,143.3641070343584,108.01997214764798,10.6441070343584,215.59999999999997,137,228,-137.0,-12.63558929656416
Colgate,1328,1128,310,66,5,67,146,32,265,0,0.3780321592649311,0.24556737588652483,0.30527638190954776,24.426197808522293,183.78619780852227,115.32768436779762,24.426197808522293,271.4,152,247,-152.0,-12.757380219147771
Colorado State,1245,1048,285,51,8,19,132,33,139,0,0.33610882110469914,0.1183206106870229,0.298876404494382,-22.4870099975441,126.9129900024559,84.94845381690489,-22.4870099975441,267.8,106,167,-106.0,-12.84870099975441
Baylor,1297,1088,311,55,6,26,144,32,115,0,0.3524841772151898,0.1332720588235294,0.30095036958817317,-4.957672674754961,150.682327325245,96.8146538969706,-4.957672674754961,275.5,125,189,-125.0,-12.995767267475497
Ball State,1241,1038,300,53,10,21,144,38,141,0,0.35812295081967216,0.13102119460500963,0.3184931506849315,1.3413547948143392,150.26135479481434,100.90072172630562,1.3413547948143392,247.4,132,199,-132.0,-13.065864520518565
Akron,1282,1093,308,51,7,30,151,16,192,0,0.34902380952380957,0.14181152790484905,0.31917336394948337,-8.75789416694346,145.08210583305654,94.30714107712984,-8.75789416694346,267.4,126,191,-126.0,-13.475789416694345
Army,1237,1083,305,47,7,22,103,17,193,0,0.32804655029093926,0.1172668513388735,0.326036866359447,-31.01471428168288,117.42528571831711,79.10622858954267,-31.01471428168288,261.8,104,166,-104.0,-13.501471428168287
Chattanooga,1204,1012,303,46,7,14,125,20,142,0,0.3467847882454625,0.1007905138339921,0.33761682242990654,-10.56920050144097,133.91079949855902,92.6846618899218,-10.56920050144097,246.60000000000002,130,215,-130.0,-14.056920050144097
Arkansas-Pine Bluff,832,717,204,27,9,10,81,17,149,0,0.3344907975460123,0.10460251046025104,0.34767025089605735,-16.1980685794869,83.6419314205131,83.77597297727675,-16.1980685794869,168.7,129,195,-129.0,-14.51980685794869
Bryant,969,802,207,30,8,16,117,24,174,0,0.33085896076352067,0.1172069825436409,0.31209150326797386,-21.925515876139464,94.35448412386054,81.14420719286252,-21.925515876139464,206.59999999999997,124,184,-124.0,-14.592551587613945
Coastal Carolina,1314,1127,320,48,1,71,148,20,184,0,0.3784169884169884,0.23336291038154391,0.2855504587155963,24.608401846624396,182.2884018466244,115.60654607218697,24.608401846624396,276.79999999999995,186,284,-186.0,-16.13915981533756
Brown,833,726,176,28,5,20,69,17,131,0,0.30588669950738917,0.1349862258953168,0.271304347826087,-36.93685364336901,63.02314635663098,63.04836570291214,-36.93685364336901,184.2,127,195,-127.0,-16.3936853643369
