team,PA,AB,H,_2B,_3B,HR,BB,HBP,SO,SF,wOBA,ISO,BABIP,wRAA,wRC,wRC+,BatRuns,IP,ER,R,PitchRuns,WAR_proxy
Arkansas,1158,950,354,72,4,57,162,29,121,0,0.4659070990359334,0.26421052631578945,0.38471502590673573,108.62557989238162,247.58557989238165,178.1703942806431,108.62557989238162,219.89999999999998,60,96,-60.0,4.862557989238162
Alabama,1166,952,331,44,7,65,151,30,136,0,0.4457811120917917,0.2657563025210084,0.35419440745672437,88.97001500193734,228.89001500193734,163.58634577039547,88.97001500193734,243.29999999999998,48,68,-48.0,4.097001500193734
Arizona,1030,863,315,44,6,44,126,20,111,0,0.4393756194251735,0.21784472769409038,0.3827683615819209,72.85562994036815,196.45562994036814,158.94468441777357,72.85562994036815,204.29999999999998,106,156,-106.0,-3.3144370059631854
Boston University,1290,1060,356,55,13,36,168,39,132,0,0.41193370165745863,0.17830188679245282,0.35874439461883406,60.4636985044942,215.2636985044942,139.05923676000916,60.4636985044942,250.7,98,141,-98.0,-3.75363014955058
Belmont,1087,935,281,54,14,30,122,17,158,0,0.37516759776536307,0.1839572192513369,0.3360107095046854,16.196907620444765,146.63690762044476,112.41713249037471,16.196907620444765,230.59999999999997,56,88,-56.0,-3.980309237955524
Arizona State,1259,1061,341,67,3,65,140,39,127,0,0.4180725806451613,0.2525918944392083,0.3176064441887227,65.73143284964588,216.81143284964588,143.50769979457633,65.73143284964588,258.2,106,179,-106.0,-4.026856715035412
Appalachian State,1146,943,299,44,7,61,154,24,157,0,0.41985727029438,0.25556733828207845,0.32827586206896553,61.610270790548896,199.13027079054888,144.8009531635754,61.610270790548896,221.3,102,171,-102.0,-4.038972920945111
Auburn,1193,963,302,59,8,50,171,30,179,0,0.4155326460481099,0.2336448598130841,0.34332425068119893,59.65071696132215,202.81071696132216,141.66716747787243,59.65071696132215,237.99999999999994,119,215,-119.0,-5.9349283038677845
Austin Peay,1222,1045,321,58,5,61,129,30,135,0,0.3992275747508306,0.24019138755980862,0.30624263839811544,43.77482384583444,190.41482384583443,129.85189842187293,43.77482384583444,244.29999999999998,109,167,-109.0,-6.522517615416556
Campbell,1200,960,313,48,7,15,169,41,157,0,0.39079487179487177,0.11145833333333334,0.37817258883248733,34.18739151258344,178.18739151258345,123.74124410596075,34.18739151258344,227.9,101,160,-101.0,-6.681260848741656
Cal State Fullerton,1060,921,295,39,3,34,86,15,114,0,0.37182974559686893,0.15960912052117263,0.33764553686934023,12.717963572448983,139.91796357244897,109.99839903494416,12.717963572448983,233.39999999999998,81,123,-81.0,-6.828203642755102
Albany,859,752,234,54,4,20,63,19,89,0,0.3657913669064748,0.1622340425531915,0.3328149300155521,5.795943381699956,108.87594338169995,105.6227623027745,5.795943381699956,181.3,75,107,-75.0,-6.920405661830005
Central Michigan,977,852,265,51,7,22,95,3,133,0,0.3639157894736842,0.15375586854460094,0.3486370157819225,4.998701174349856,122.23870117434986,104.26364822104219,4.998701174349856,198.4,86,144,-86.0,-8.100129882565014
Central Arkansas,1225,1012,311,76,13,25,175,14,148,0,0.3875853455453789,0.17490118577075098,0.34088200238379024,31.480785656954613,178.48078565695462,121.41550044690791,31.480785656954613,249.7,120,176,-120.0,-8.85192143430454
Ball State,1073,893,267,47,9,18,125,35,114,0,0.367312440645774,0.13325867861142218,0.3272010512483574,8.659096673459457,137.41909667345945,106.72498965009277,8.659096673459457,211.7,99,151,-99.0,-9.034090332654054
California Baptist,1308,1099,321,68,11,31,123,37,142,0,0.3629944400317712,0.1665150136487716,0.31317494600431967,5.6442874042502815,162.6042874042503,103.59600369791686,5.6442874042502815,284.4,98,139,-98.0,-9.235571259574971
Central Connecticut,845,749,222,61,2,29,80,3,165,0,0.3675120192307692,0.20293724966622162,0.34774774774774775,6.965786378516632,108.36578637851662,106.86961181313276,6.965786378516632,174.5,100,148,-100.0,-9.303421362148338
Columbia,913,771,207,41,3,22,103,22,121,0,0.34374999999999994,0.14656290531776914,0.2945859872611465,-11.338630304220722,98.22136969577929,89.6507572980826,-11.338630304220722,186.59999999999997,84,130,-84.0,-9.533863030422072
Colgate,1196,1012,283,61,4,59,134,31,241,0,0.3823619371282923,0.24308300395256918,0.3146067415730337,25.303181487632184,168.82318148763216,117.63042188380169,25.303181487632184,240.5,122,207,-122.0,-9.669681851236781
Butler,997,818,257,50,2,20,135,11,110,0,0.3798132780082987,0.1393643031784841,0.3444767441860465,18.88346009601199,138.523460096012,115.78356744902374,18.88346009601199,190.5,118,196,-118.0,-9.9116539903988
Binghamton,737,641,199,49,1,24,72,14,136,0,0.3818844566712517,0.1918876755070203,0.36382536382536385,15.2863424211308,103.7263424211308,117.28442155261286,15.2863424211308,145.60000000000002,116,176,-116.0,-10.07136575788692
Bowling Green,1095,883,237,41,4,20,147,35,151,0,0.3496244131455399,0.12344280860702152,0.3047752808988764,-8.005441958696677,123.39455804130333,93.90757841803907,-8.005441958696677,211.5,101,163,-101.0,-10.900544195869667
Baylor,1133,951,277,47,6,24,129,28,105,0,0.35885379061371836,0.1377497371188223,0.3077858880778589,0.8096868097278325,136.76968680972783,100.5955331051249,0.8096868097278325,240.60000000000002,111,161,-111.0,-11.019031319027217
Canisius,776,678,177,33,3,15,72,14,131,0,0.31967277486911,0.12389380530973451,0.30451127819548873,-25.884107587999935,67.23589241200006,72.20349271048116,-25.884107587999935,163.9,87,147,-87.0,-11.288410758799994
Colorado State,1134,950,266,47,5,17,123,31,126,0,0.34221920289855073,0.11368421052631579,0.30855018587360594,-15.592748523589574,120.4872514764104,88.54148403616286,-15.592748523589574,240.7,98,158,-98.0,-11.359274852358958
Charlotte,1186,1038,317,50,11,37,107,20,145,0,0.3691587982832618,0.17630057803468208,0.32710280373831774,11.475161929195112,153.7951619291951,108.06292996711294,11.475161929195112,249.29999999999998,136,204,-136.0,-12.452483807080489
Akron,1103,943,255,42,7,26,124,16,175,0,0.33922437673130196,0.1420996818663839,0.3086253369272237,-18.038920653626484,114.3210793463735,86.37132014685214,-18.038920653626484,232.4,115,174,-115.0,-13.30389206536265
Army,1111,981,267,45,7,21,89,14,174,0,0.3209778597785978,0.12436289500509684,0.31297709923664124,-35.79747801017701,97.52252198982299,73.14920641300854,-35.79747801017701,234.49999999999997,98,156,-98.0,-13.3797478010177
Bryant,838,698,171,28,6,14,98,21,159,0,0.3196205630354957,0.1174785100286533,0.29904761904761906,-27.990214266486912,72.56978573351309,72.16565804844181,-27.990214266486912,181.59999999999997,111,162,-111.0,-13.899021426648691
Chattanooga,1149,965,289,43,6,14,123,19,133,0,0.3479223125564589,0.10051813471502591,0.33618581907090467,-10.100851378819971,127.77914862118003,92.67417219406732,-10.100851378819971,231.60000000000002,130,215,-130.0,-14.010085137881997
Brown,749,653,163,26,5,18,64,12,120,0,0.31155006858710566,0.13782542113323124,0.2815533980582524,-30.273854669403224,59.606145330596775,66.31747366555048,-30.273854669403224,162.5,117,180,-117.0,-14.727385466940323
Coastal Carolina,1170,999,283,42,1,60,133,19,169,0,0.3759252823631624,0.22422422422422422,0.2896103896103896,18.20451573772542,158.60451573772542,112.96617930037425,18.20451573772542,243.79999999999998,168,257,-168.0,-14.979548426227458
Cal State Northridge,862,745,208,24,3,9,61,34,107,0,0.3192857142857143,0.07651006711409396,0.3163751987281399,-29.04283429061489,74.3971657093851,71.92301402686108,-29.04283429061489,183.29999999999998,121,193,-121.0,-15.004283429061491
Boise State,1211,1032,277,55,3,28,120,27,206,0,0.33578456318914335,0.14050387596899225,0.31203007518796994,-23.42747077959799,121.892529220402,83.87870163804156,-23.42747077959799,258.4,129,193,-129.0,-15.2427470779598
Arkansas-Pine Bluff,780,675,182,21,7,9,78,13,143,0,0.3183289817232376,0.09185185185185185,0.33078393881453155,-26.928973130624822,66.67102686937517,71.22972956129826,-26.928973130624822,158.0,126,192,-126.0,-15.292897313062483
Bellarmine,1015,866,236,37,4,18,109,17,125,0,0.3313104838709678,0.11431870669745958,0.301521438450899,-23.584602716124667,98.21539728387533,80.63661517559552,-23.584602716124667,213.29999999999998,137,219,-137.0,-16.058460271612468
Cal Poly,980,854,227,39,2,4,81,5,103,0,0.29479787234042554,0.06440281030444965,0.29852744310575635,-53.88643559691829,63.713564403081705,54.17820102302866,-53.88643559691829,214.6,109,171,-109.0,-16.288643559691828
Alcorn State,841,729,188,28,8,14,74,10,122,0,0.31097170971709714,0.11796982167352538,0.2934232715008432,-34.41536193296745,66.50463806703254,65.89837303510954,-34.41536193296745,176.59999999999997,129,200,-129.0,-16.341536193296744
Buffalo,1191,1008,307,39,9,24,148,18,142,0,0.36518739352640545,0.12797619047619047,0.336104513064133,7.410545539070893,150.33054553907087,105.18510043315901,7.410545539070893,234.59999999999997,183,269,-183.0,-17.558945446092913
Alabama A&M,1253,1037,337,54,18,27,148,36,131,0,0.39540540540540536,0.16489874638379942,0.35267349260523323,40.720811693373484,191.08081169337348,127.08221049040536,40.720811693373484,233.89999999999998,219,340,-219.0,-17.82791883066265
Boston College,1109,967,272,43,2,30,107,9,229,0,0.3385410895660203,0.14167528438469493,0.3418079096045198,-18.795973641001634,114.28402635899835,85.87618451983646,-18.795973641001634,228.89999999999998,160,247,-160.0,-17.879597364100164
Bucknell,938,804,220,47,5,8,100,15,148,0,0.3271817192600653,0.10074626865671642,0.3271604938271605,-25.16306178880756,87.39693821119243,77.64475676189805,-25.16306178880756,185.4,163,258,-163.0,-18.816306178880758
College of Charleston,1181,1036,272,41,11,12,104,24,177,0,0.3104810996563574,0.09555984555984556,0.3069657615112161,-48.832660936150276,92.88733906384972,65.5428584983416,-48.832660936150276,268.79999999999995,147,235,-147.0,-19.583266093615027
California,1192,1030,277,58,4,35,116,26,205,0,0.34280716723549487,0.16601941747572815,0.30632911392405066,-15.780823417596629,127.25917658240337,88.9675451498905,-15.780823417596629,246.79999999999995,181,284,-181.0,-19.678082341759662
Alabama State,1229,1051,311,56,16,16,116,27,172,0,0.3509966499162479,0.12940057088487156,0.34183082271147164,-7.51859987846716,139.96140012153282,94.9019528895666,-7.51859987846716,250.29999999999998,193,318,-193.0,-20.05185998784672
BYU,999,858,216,39,6,33,101,20,179,0,0.33321756894790605,0.17482517482517482,0.28328173374613,-21.55614921283408,98.32385078716592,82.0185608835218,-21.55614921283408,209.2,183,264,-183.0,-20.455614921283406
Bethune-Cookman,1087,935,251,30,11,2,104,16,122,0,0.3056872037914692,0.06203208556149733,0.3070283600493218,-49.477169118357544,80.96283088164245,62.06902091508927,-49.477169118357544,233.2,166,250,-166.0,-21.547716911835757
Bradley,1087,962,258,49,5,34,98,8,179,0,0.33346441947565547,0.16735966735966737,0.29906542056074764,-23.221661771652766,107.21833822834724,82.19743807754311,-23.221661771652766,214.39999999999998,195,290,-195.0,-21.82216617716528
Abilene Christian,935,840,207,31,8,20,69,16,188,0,0.3003351351351351,0.12738095238095237,0.2958860759493671,-46.91002304950668,65.28997695049333,58.19071029455733,-46.91002304950668,203.7,201,309,-201.0,-24.791002304950666
Charleston Southern,990,891,218,32,9,5,69,11,128,0,0.27666323377960866,0.07295173961840629,0.28100263852242746,-70.04785559786691,48.752144402133084,41.03715858765411,-70.04785559786691,228.29999999999998,179,274,-179.0,-24.904785559786692
