table_index,Qual.,Player,Team,Class,POS,BA,OBP,SLG,OPS,GP,PA,AB,R,H,2B,3B,HR,RBI,HBP,BB,K,SB,CS,K%,BB%,K:BB,ISO,BABIP,wOBA,wRC,wRAA,wRC+,GB%,LD%,FB%,PU%,HR/FB%,W,L,ERA,APP,GS,CG,SHO,SV,IP,ER,K-BB%,WHIP,FIP,xFIP,SIERA,LOB%
1,0,Taylor Roman,Ole Miss,SR,DH,.274,.354,.534,.888,33,82,73,10,20,1,0,6,17,1,8,25,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Reili Gardner,Elon,GR,CF,.206,.306,.238,.544,33,72,63,7,13,0,1,0,2,0,9,17,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Amber DeSena,Campbell,GR,3B,.398,.469,.509,.978,34,132,108,29,43,10,1,0,21,4,13,16,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Kaylee Pond,Arizona State,SR,CF,.354,.522,.833,1.356,37,134,96,34,34,6,2,12,37,9,27,12,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Taylor Nicholson,UMBC,GR,1B,.419,.468,.814,1.282,15,49,43,9,18,5,0,4,22,2,2,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Kylee Gleason,James Madison,GR,CF,.349,.392,.459,.850,33,123,109,21,38,4,1,2,15,0,9,9,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Savanah Whatley,Liberty,SR,SS,.222,.305,.361,.666,28,83,72,12,16,7,0,1,8,1,8,15,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Logan-Ray Gaspar,Grambling,FR,SS,.338,.402,.408,.811,26,82,71,8,24,3,1,0,12,2,7,4,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Jenna Lord,Charlotte,SR,3B,.441,.476,.775,1.251,36,124,111,33,49,12,2,7,25,1,9,6,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Amber Toven,Baylor,SR,SS,.374,.471,.586,1.057,33,121,99,27,37,6,0,5,29,2,18,7,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Riley McNemar,North Texas,SR,3B,.302,.387,.469,.856,35,113,96,22,29,7,0,3,22,4,10,12,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,McKenna Mulholland,Florida Atlantic,SR,SS,.290,.474,.536,1.010,34,98,69,22,20,3,1,4,21,12,13,11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Darien McDonough,Binghamton,GR,CF,.365,.427,.608,1.035,23,83,74,13,27,10,1,2,12,2,6,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Bailey Sample,Omaha,SR,3B,.396,.468,.604,1.073,31,112,96,30,38,8,0,4,23,5,9,9,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Olivia Silvestre,Pacific,SR,LF,.337,.477,.545,1.021,35,129,101,29,34,13,1,2,10,14,13,12,9,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Saige Alfaro,Nevada,SR,2B,.296,.407,.423,.830,27,86,71,16,21,6,0,1,13,2,12,8,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Keirstin Roose,Georgia,GR,2B,.351,.421,.739,1.159,35,126,111,39,39,8,1,11,28,2,12,14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Haley Painter,Purdue,SR,3B,.312,.405,.602,1.007,35,117,93,20,29,10,1,5,36,5,13,13,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Hannah Burnett,Long Island,SO,SS,.244,.363,.354,.716,34,104,82,13,20,6,0,1,10,9,8,11,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Emma Robertson,Central Arkansas,GR,DP,.330,.473,.610,1.083,37,129,100,13,33,7,0,7,40,3,25,23,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Morgan Nowakowski,Jacksonville State,SR,CF,.360,.464,.577,1.040,36,140,111,29,40,15,0,3,21,2,22,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Jenna Blanton,Western Kentucky,SR,CF,.455,.491,.566,1.056,32,116,99,30,45,3,4,0,12,0,8,3,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Ella Emmert,Kentucky,SR,C,.247,.345,.438,.784,33,88,73,10,18,5,0,3,12,4,7,17,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Gracee Hess,Lamar,SR,3B,.345,.482,.540,1.022,34,112,87,33,30,9,1,2,20,11,12,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Kennedy Semien,Memphis,SR,CF,.259,.351,.341,.692,34,102,85,6,22,2,1,1,14,0,12,10,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,Easton Lotus,Louisville,SR,2B,.362,.427,.472,.899,36,147,127,35,46,6,4,0,17,1,14,6,8,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,Taylor Roman,Ole Miss,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Reili Gardner,Elon,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Amber DeSena,Campbell,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Kaylee Pond,Arizona State,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Taylor Nicholson,UMBC,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Kylee Gleason,James Madison,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Savanah Whatley,Liberty,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Logan-Ray Gaspar,Grambling,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Jenna Lord,Charlotte,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Amber Toven,Baylor,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Riley McNemar,North Texas,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,McKenna Mulholland,Florida Atlantic,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
2,,Darien McDonough,Binghamton,GR,,,,,,,,,,,,,,,,,,,,12.3,1.2,1.23,.123,.123,.123,12,12,12,,,,,,,,,,,,,,,,,,,,,
