team,PA,AB,H,_2B,_3B,HR,BB,HBP,SO,SF,wOBA,ISO,BABIP,wRAA,wRC,wRC+,BatRuns,IP,ER,R,PitchRuns,WAR_proxy
Alabama,1074,874,309,40,7,63,142,27,121,0,0.45438159156279956,0.2780320366132723,0.3565217391304348,90.1115217575394,218.9915217575394,169.9189337038636,90.1115217575394,222.29999999999998,35,51,-35.0,5.51115217575394
Arkansas,1106,907,340,72,4,53,156,28,116,0,0.46768102658111826,0.26350606394707826,0.3888888888888889,105.5869958815595,238.3069958815595,179.55620545626846,105.5869958815595,207.89999999999998,60,96,-60.0,4.55869958815595
Appalachian State,1052,862,276,40,7,59,145,22,143,0,0.42697764820213807,0.2679814385150812,0.3287878787878788,63.19701111174359,189.43701111174357,150.06100373236976,63.19701111174359,204.29999999999998,85,146,-85.0,-2.1802988888256407
Arizona State,1153,968,310,62,3,63,130,38,113,0,0.42236795774647884,0.265495867768595,0.31186868686868685,64.64268902899803,203.00268902899802,146.72064832971816,64.64268902899803,238.5,96,158,-96.0,-3.1357310971001966
Arizona,1030,863,315,44,6,44,126,20,111,0,0.4393756194251735,0.21784472769409038,0.3827683615819209,72.97967049123207,196.57967049123206,159.04504085051138,72.97967049123207,204.29999999999998,106,156,-106.0,-3.302032950876793
Belmont,999,855,252,49,13,26,114,17,149,0,0.37050709939148074,0.17894736842105263,0.3323529411764706,10.957411046672116,130.83741104667212,109.14031618841517,10.957411046672116,211.59999999999997,52,83,-52.0,-4.104258895332789
Auburn,1113,898,291,58,8,50,161,27,162,0,0.42788213627992633,0.24944320712694878,0.35131195335276966,67.7368637419777,201.2968637419777,150.7164298756946,67.7368637419777,220.99999999999994,110,195,-110.0,-4.22631362580223
Campbell,1147,918,309,47,7,15,161,39,151,0,0.3993023255813954,0.11546840958605664,0.39095744680851063,41.300839410284304,178.9408394102843,130.00642212313593,41.300839410284304,214.89999999999998,96,153,-96.0,-5.469916058971569
Boston University,1200,992,325,50,9,31,153,32,128,0,0.3989379779099405,0.1622983870967742,0.35294117647058826,42.829058982754134,186.82905898275413,129.74240207135705,42.829058982754134,235.69999999999996,98,141,-98.0,-5.517094101724586
Albany,634,560,173,44,3,14,44,9,68,0,0.36022838499184345,0.16428571428571428,0.33263598326359833,1.2872526175636227,77.36725261756362,101.69197242056207,1.2872526175636227,135.3,59,84,-59.0,-5.771274738243638
Central Connecticut,638,559,178,55,2,23,67,2,109,0,0.396656050955414,0.22898032200357782,0.3629976580796253,21.50480963714581,98.06480963714581,128.08883181445378,21.50480963714581,128.5,81,122,-81.0,-5.949519036285419
Central Michigan,918,802,252,48,6,22,88,3,128,0,0.36705487122060465,0.1571072319201995,0.35276073619631904,7.3131936515370715,117.47319365153707,106.6387015718383,7.3131936515370715,184.4,80,138,-80.0,-7.268680634846293
Cal State Fullerton,960,841,266,36,2,32,72,12,111,0,0.36648648648648646,0.16171224732461356,0.335243553008596,7.173306519667756,122.37330651966775,106.22682857610046,7.173306519667756,216.39999999999998,81,121,-81.0,-7.3826693480332235
Central Arkansas,1136,940,294,73,13,24,160,13,141,0,0.39302785265049417,0.1819148936170213,0.34838709677419355,34.70666659521214,171.02666659521213,125.45970260799012,34.70666659521214,228.7,112,166,-112.0,-7.729333340478786
Ball State,935,778,228,40,9,14,114,27,103,0,0.3619042437431992,0.12853470437017994,0.3237518910741301,3.260939084146823,115.46093908414683,102.90636282009523,3.260939084146823,187.1,81,127,-81.0,-7.773906091585317
Butler,893,729,234,46,2,20,124,10,105,0,0.38973348783314016,0.15089163237311384,0.3543046357615894,24.724471417420364,131.88447141742037,123.07248172584954,24.724471417420364,167.5,104,176,-104.0,-7.927552858257964
Austin Peay,1099,932,266,45,5,53,122,28,130,0,0.38179297597042516,0.2296137339055794,0.28437917222963954,22.839621476464476,154.71962147646448,117.31848762243288,22.839621476464476,222.29999999999998,104,161,-104.0,-8.116037852353553
Bowling Green,965,777,211,39,3,20,128,30,140,0,0.3546417112299465,0.13513513513513514,0.3095623987034036,-2.7286439197983254,113.07135608020167,97.64365810034687,-2.7286439197983254,188.79999999999998,81,132,-81.0,-8.372864391979833
Baylor,980,824,242,45,5,22,113,24,96,0,0.36383975026014564,0.14684466019417475,0.311614730878187,5.067270838699383,122.66727083869938,104.30890377440424,5.067270838699383,205.59999999999997,95,137,-95.0,-8.993272916130062
Colgate,1057,904,254,57,3,51,112,25,209,0,0.37896253602305474,0.23893805309734514,0.31521739130434784,19.365226200841217,146.2052262008412,115.26744418230936,19.365226200841217,211.5,112,192,-112.0,-9.263477379915878
Binghamton,651,568,169,43,1,20,63,12,126,0,0.36911353032659405,0.18485915492957747,0.35308056872037913,6.3515337357453845,84.47153373574537,108.13048353270017,6.3515337357453845,128.60000000000002,103,159,-103.0,-9.664846626425462
California Baptist,1188,1003,282,58,11,26,111,35,129,0,0.3518363794604004,0.1575274177467597,0.3018867924528302,-6.257230701033085,136.30276929896692,95.61080899198016,-6.257230701033085,258.4,92,131,-92.0,-9.825723070103308
Colorado State,1046,881,249,46,5,16,111,26,120,0,0.34350687622789783,0.11804767309875142,0.312751677852349,-13.085538971699293,112.4344610283007,89.5749370843696,-13.085538971699293,223.49999999999997,88,142,-88.0,-10.10855389716993
