team,PA,AB,H,_2B,_3B,HR,BB,HBP,SO,SF,wOBA,ISO,BABIP,wRAA,wRC,wRC+,BatRuns,IP,ER,R,PitchRuns,WAR_proxy
Alabama,1418,1162,399,57,9,77,186,33,172,0,0.44148443157132516,0.2633390705679862,0.35268346111719606,104.0560321916915,274.2160321916915,161.15187599417698,104.0560321916915,294.3,55,76,-55.0,4.90560321916915
Arkansas,1366,1124,403,78,4,66,188,33,147,0,0.4512936802973978,0.2526690391459075,0.3699231613611416,111.89183665992896,275.81183665992893,168.2600272449542,111.89183665992896,261.9,78,122,-78.0,3.3891836659928956
Arizona State,1509,1264,415,82,3,79,171,48,145,0,0.42571139581928524,0.25712025316455694,0.3230769230769231,90.03685100692671,271.1168510069267,149.7221399419741,90.03685100692671,309.2,119,203,-119.0,-2.896314899307329
Boston University,1600,1318,443,73,14,51,208,48,162,0,0.4162897077509531,0.19271623672230653,0.3547511312217195,82.35807311525859,274.3580731152586,142.89482974753054,82.35807311525859,307.7,125,176,-125.0,-4.264192688474141
Belmont,1337,1148,342,68,16,32,152,19,181,0,0.36911296436694463,0.17073170731707318,0.3315508021390374,13.972372756138554,174.41237275613855,108.7087838170896,13.972372756138554,283.30000000000007,64,108,-64.0,-5.0027627243861446
Appalachian State,1358,1120,341,51,7,69,178,28,177,0,0.4056334841628959,0.24285714285714285,0.3112128146453089,57.31780444128733,220.27780444128734,135.17292859676445,57.31780444128733,266.4,115,191,-115.0,-5.7682195558712674
Cal State Fullerton,1228,1062,356,50,4,37,100,20,122,0,0.3843824027072758,0.1591337099811676,0.3532668881506091,29.138368425842962,176.49836842584295,119.77359420863394,29.138368425842962,266.4,96,141,-96.0,-6.686163157415703
Arizona,1324,1130,392,61,8,54,143,22,145,0,0.41850193050193046,0.21150442477876105,0.36305048335123524,70.69824717443652,229.5782471744365,144.49788971200687,70.69824717443652,264.4,145,207,-145.0,-7.430175282556348
Campbell,1504,1220,394,64,9,17,197,49,189,0,0.3835197817189631,0.10901639344262296,0.3717948717948718,34.55922459607097,215.03922459607097,119.14850653594358,34.55922459607097,290.2,110,180,-110.0,-7.544077540392903
Austin Peay,1383,1187,365,61,6,64,140,35,147,0,0.3929368575624082,0.22325189553496208,0.3084016393442623,43.10391874399505,209.06391874399506,125.97247453844003,43.10391874399505,276.9,123,193,-123.0,-7.989608125600495
Central Michigan,1298,1140,371,67,10,33,115,4,163,0,0.37516282764098485,0.1631578947368421,0.3580508474576271,20.393256047154598,176.1532560471546,113.09274271132163,20.393256047154598,264.40000000000003,114,186,-114.0,-9.36067439528454
Central Arkansas,1470,1201,370,84,18,33,227,16,185,0,0.3941759002770083,0.1823480432972523,0.34282807731434384,47.39926490360132,223.79926490360134,126.8703315780053,47.39926490360132,292.5,142,209,-142.0,-9.460073509639868
Albany,1042,916,282,65,5,21,77,21,102,0,0.3587475345167653,0.15065502183406113,0.3291298865069357,1.4974824989002393,126.53748249890023,101.197602766235,1.4974824989002393,222.2,98,141,-98.0,-9.650251750109977
Columbia,1031,876,235,44,4,27,110,24,138,0,0.3424059405940594,0.15182648401826485,0.29254571026722925,-13.1689200613617,110.5510799386383,89.35586803963652,-13.1689200613617,214.59999999999997,89,137,-89.0,-10.21689200613617
Auburn,1378,1128,327,60,9,53,186,35,221,0,0.38819866567828015,0.21010638297872342,0.32084309133489464,37.27049396952228,202.63049396952226,122.53900215863706,37.27049396952228,282.5,141,249,-141.0,-10.372950603047773
Central Connecticut,1157,1019,319,80,3,37,109,6,190,0,0.37803350970017635,0.19332679097154074,0.3560606060606061,21.06611975647251,159.90611975647252,115.17294710204014,21.06611975647251,238.4,128,187,-128.0,-10.693388024352748
California Baptist,1491,1258,367,75,12,34,137,41,158,0,0.35939415041782724,0.15977742448330684,0.3123827392120075,2.981102441941907,181.9011024419419,101.66616501338135,2.981102441941907,324.40000000000003,118,167,-118.0,-11.50188975580581
Binghamton,1050,904,284,70,3,37,110,20,165,0,0.3919825918762088,0.206858407079646,0.35185185185185186,31.854031857121942,157.85403185712195,125.2809776643825,31.854031857121942,208.39999999999998,152,234,-152.0,-12.014596814287806
Butler,1197,985,298,55,5,21,156,13,141,0,0.36632582322357016,0.1299492385786802,0.33657351154313486,9.608246684763813,153.24824668476379,106.68911632189068,9.608246684763813,233.6,143,238,-143.0,-13.33917533152362
Colgate,1378,1177,317,67,5,67,147,32,280,0,0.36936578171091444,0.23619371282922685,0.30120481927710846,14.7037860503658,180.0637860503658,108.89198479098077,14.7037860503658,283.4,157,254,-157.0,-14.22962139496342
Canisius,1002,881,227,41,6,16,82,20,156,0,0.3103357070193286,0.11464245175936436,0.29760225669957685,-40.74143821860212,79.49856178139788,66.11656834780263,-40.74143821860212,219.29999999999998,103,175,-103.0,-14.374143821860212
