Team,Conference,Stat Type,Value,Conference Rank,National Rank,National Leader (Team Name or Player Name),NL_Value
Florida St.,ACC,Batting Avg,0.359,,2,Indiana,0.38
Stanford,ACC,Batting Avg,0.356,,3,,
North Carolina,ACC,Batting Avg,0.353,,4,,
Duke,ACC,Batting Avg,0.336,,19,,
Virginia Tech,ACC,Batting Avg,0.334,,25,,
Clemson,ACC,Batting Avg,0.333,,27,,
California,ACC,Batting Avg,0.317,,39,,
Virginia,ACC,Batting Avg,0.312,,52,,
Louisville,ACC,Batting Avg,0.299,,90,,
Syracuse,ACC,Batting Avg,0.293,,109,,
Georgia Tech,ACC,Batting Avg,0.287,,131,,
NC State,ACC,Batting Avg,0.273,,183,,
Notre Dame,ACC,Batting Avg,0.267,,199,,
Boston College,ACC,Batting Avg,0.257,,235,,
Pittsburgh,ACC,Batting Avg,0.241,,271,,
California,ACC,Double Plays,22.0,,32,Utah,35.0
NC State,ACC,Double Plays,21.0,,39,,
Clemson,ACC,Double Plays,19.0,,54,,
Duke,ACC,Double Plays,18.0,,62,,
Louisville,ACC,Double Plays,18.0,,62,,
North Carolina,ACC,Double Plays,15.0,,114,,
Virginia Tech,ACC,Double Plays,14.0,,124,,
Georgia Tech,ACC,Double Plays,13.0,,144,,
Syracuse,ACC,Double Plays,13.0,,144,,
Virginia,ACC,Double Plays,13.0,,144,,
Boston College,ACC,Double Plays,12.0,,167,,
Stanford,ACC,Double Plays,12.0,,167,,
Florida St.,ACC,Double Plays,9.0,,231,,
Notre Dame,ACC,Double Plays,9.0,,231,,
Pittsburgh,ACC,Double Plays,9.0,,231,,
California,ACC,Double Plays Per Game,0.44,,40,Utah,0.71
NC State,ACC,Double Plays Per Game,0.4,,60,,
Louisville,ACC,Double Plays Per Game,0.38,,70,,
Clemson,ACC,Double Plays Per Game,0.36,,84,,
Duke,ACC,Double Plays Per Game,0.35,,99,,
Virginia Tech,ACC,Double Plays Per Game,0.3,,132,,
North Carolina,ACC,Double Plays Per Game,0.28,,151,,
Syracuse,ACC,Double Plays Per Game,0.28,,152,,
Georgia Tech,ACC,Double Plays Per Game,0.28,,162,,
Stanford,ACC,Double Plays Per Game,0.26,,176,,
Boston College,ACC,Double Plays Per Game,0.25,,184,,
Virginia,ACC,Double Plays Per Game,0.25,,184,,
Florida St.,ACC,Double Plays Per Game,0.18,,246,,
Pittsburgh,ACC,Double Plays Per Game,0.18,,246,,
Notre Dame,ACC,Double Plays Per Game,0.17,,259,,
Clemson,ACC,Doubles,91.0,,3,McNeese,109.0
California,ACC,Doubles,85.0,,15,,
Virginia,ACC,Doubles,85.0,,15,,
Stanford,ACC,Doubles,84.0,,19,,
North Carolina,ACC,Doubles,81.0,,25,,
Virginia Tech,ACC,Doubles,79.0,,30,,
Florida St.,ACC,Doubles,76.0,,38,,
Duke,ACC,Doubles,69.0,,75,,
Pittsburgh,ACC,Doubles,67.0,,92,,
Boston College,ACC,Doubles,60.0,,133,,
Georgia Tech,ACC,Doubles,59.0,,139,,
Louisville,ACC,Doubles,56.0,,168,,
Syracuse,ACC,Doubles,56.0,,168,,
NC State,ACC,Doubles,55.0,,179,,
Notre Dame,ACC,Doubles,48.0,,237,,
