Team,Conference,Stat Type,Value,Conference Rank,National Rank,National Leader (Team Name or Player Name),NL_Value
Texas,SEC,Batting Avg,0.352,,7,Indiana,0.38
LSU,SEC,Batting Avg,0.342,,16,,
Florida,SEC,Batting Avg,0.34,,17,,
Oklahoma,SEC,Batting Avg,0.336,,21,,
Texas A&M,SEC,Batting Avg,0.335,,22,,
Arkansas,SEC,Batting Avg,0.333,,28,,
Alabama,SEC,Batting Avg,0.324,,32,,
Mississippi St.,SEC,Batting Avg,0.32,,36,,
South Carolina,SEC,Batting Avg,0.314,,44,,
Ole Miss,SEC,Batting Avg,0.311,,55,,
Tennessee,SEC,Batting Avg,0.307,,63,,
Georgia,SEC,Batting Avg,0.298,,94,,
Kentucky,SEC,Batting Avg,0.288,,123,,
Auburn,SEC,Batting Avg,0.263,,212,,
Missouri,SEC,Batting Avg,0.261,,223,,
Alabama,SEC,Double Plays,29.0,,5,Utah,35.0
South Carolina,SEC,Double Plays,27.0,,10,,
Auburn,SEC,Double Plays,24.0,,22,,
Florida,SEC,Double Plays,24.0,,22,,
Georgia,SEC,Double Plays,23.0,,26,,
Texas,SEC,Double Plays,23.0,,26,,
Oklahoma,SEC,Double Plays,21.0,,39,,
Texas A&M,SEC,Double Plays,18.0,,62,,
Arkansas,SEC,Double Plays,17.0,,81,,
LSU,SEC,Double Plays,16.0,,100,,
Kentucky,SEC,Double Plays,15.0,,114,,
Mississippi St.,SEC,Double Plays,15.0,,114,,
Missouri,SEC,Double Plays,10.0,,211,,
Tennessee,SEC,Double Plays,10.0,,211,,
Ole Miss,SEC,Double Plays,8.0,,249,,
Alabama,SEC,Double Plays Per Game,0.54,,10,Utah,0.71
South Carolina,SEC,Double Plays Per Game,0.53,,12,,
Georgia,SEC,Double Plays Per Game,0.49,,23,,
Auburn,SEC,Double Plays Per Game,0.47,,28,,
Florida,SEC,Double Plays Per Game,0.44,,38,,
Texas,SEC,Double Plays Per Game,0.44,,39,,
Oklahoma,SEC,Double Plays Per Game,0.44,,42,,
Arkansas,SEC,Double Plays Per Game,0.36,,79,,
Texas A&M,SEC,Double Plays Per Game,0.36,,83,,
LSU,SEC,Double Plays Per Game,0.31,,120,,
Mississippi St.,SEC,Double Plays Per Game,0.29,,138,,
Kentucky,SEC,Double Plays Per Game,0.29,,145,,
Tennessee,SEC,Double Plays Per Game,0.2,,231,,
Missouri,SEC,Double Plays Per Game,0.19,,241,,
Ole Miss,SEC,Double Plays Per Game,0.16,,262,,
South Carolina,SEC,Doubles,89.0,,6,McNeese,109.0
Texas A&M,SEC,Doubles,86.0,,12,,
Mississippi St.,SEC,Doubles,80.0,,28,,
Oklahoma,SEC,Doubles,79.0,,30,,
Florida,SEC,Doubles,78.0,,35,,
Arkansas,SEC,Doubles,77.0,,36,,
LSU,SEC,Doubles,73.0,,49,,
Texas,SEC,Doubles,73.0,,49,,
Missouri,SEC,Doubles,71.0,,65,,
Ole Miss,SEC,Doubles,70.0,,72,,
Alabama,SEC,Doubles,67.0,,92,,
Tennessee,SEC,Doubles,63.0,,111,,
Kentucky,SEC,Doubles,61.0,,125,,
Georgia,SEC,Doubles,57.0,,159,,
Auburn,SEC,Doubles,52.0,,202,,
South Carolina,SEC,Doubles Per Game,1.75,,11,Indiana,2.15
Texas A&M,SEC,Doubles Per Game,1.72,,15,,
Oklahoma,SEC,Doubles Per Game,1.65,,24,,
Arkansas,SEC,Doubles Per Game,1.64,,28,,
Mississippi St.,SEC,Doubles Per Game,1.57,,39,,
Florida,SEC,Doubles Per Game,1.44,,72,,
LSU,SEC,Doubles Per Game,1.43,,75,,
Ole Miss,SEC,Doubles Per Game,1.43,,76,,
Texas,SEC,Doubles Per Game,1.4,,88,,
Missouri,SEC,Doubles Per Game,1.34,,113,,
Alabama,SEC,Doubles Per Game,1.24,,153,,
Tennessee,SEC,Doubles Per Game,1.24,,156,,
Georgia,SEC,Doubles Per Game,1.21,,167,,
Kentucky,SEC,Doubles Per Game,1.17,,186,,
Auburn,SEC,Doubles Per Game,1.02,,248,,
Tennessee,SEC,Earned Run Avg,1.65,,1,Tennessee,1.65
Texas,SEC,Earned Run Avg,2.44,,15,,
Oklahoma,SEC,Earned Run Avg,2.62,,21,,
Texas A&M,SEC,Earned Run Avg,2.62,,22,,
Alabama,SEC,Earned Run Avg,2.82,,36,,
LSU,SEC,Earned Run Avg,2.85,,39,,
Arkansas,SEC,Earned Run Avg,2.87,,43,,
Florida,SEC,Earned Run Avg,2.91,,47,,
Ole Miss,SEC,Earned Run Avg,2.97,,52,,
South Carolina,SEC,Earned Run Avg,3.09,,59,,
Mississippi St.,SEC,Earned Run Avg,3.39,,77,,
Kentucky,SEC,Earned Run Avg,3.67,,105,,
