Team,Conference,Stat Type,Value,Conference Rank,National Rank,National Leader (Team Name or Player Name),NL_Value
Missouri,SEC,Earned Run Avg,3.79,,121,,
Georgia,SEC,Earned Run Avg,3.81,,124,,
Auburn,SEC,Earned Run Avg,4.11,,155,,
Arkansas,SEC,Fielding Percentage,0.985,,1,Arkansas,0.985
South Carolina,SEC,Fielding Percentage,0.981,,7,,
Oklahoma,SEC,Fielding Percentage,0.978,,11,,
Tennessee,SEC,Fielding Percentage,0.977,,13,,
Texas,SEC,Fielding Percentage,0.974,,21,,
Texas A&M,SEC,Fielding Percentage,0.971,,42,,
LSU,SEC,Fielding Percentage,0.97,,47,,
Florida,SEC,Fielding Percentage,0.97,,48,,
Missouri,SEC,Fielding Percentage,0.97,,52,,
Mississippi St.,SEC,Fielding Percentage,0.969,,63,,
Ole Miss,SEC,Fielding Percentage,0.966,,93,,
Georgia,SEC,Fielding Percentage,0.966,,101,,
Auburn,SEC,Fielding Percentage,0.963,,129,,
Alabama,SEC,Fielding Percentage,0.963,,131,,
Kentucky,SEC,Fielding Percentage,0.949,,246,,
Alabama,SEC,Hit Batters,16.0,,39,Ark.-Pine Bluff,8.0
Texas,SEC,Hit Batters,20.0,,75,Belmont,8.0
South Carolina,SEC,Hit Batters,23.0,,107,Western Mich.,8.0
Oklahoma,SEC,Hit Batters,24.0,,117,,
Arkansas,SEC,Hit Batters,26.0,,136,,
Texas A&M,SEC,Hit Batters,26.0,,136,,
Mississippi St.,SEC,Hit Batters,29.0,,173,,
Missouri,SEC,Hit Batters,29.0,,173,,
Georgia,SEC,Hit Batters,30.0,,184,,
Ole Miss,SEC,Hit Batters,31.0,,196,,
Auburn,SEC,Hit Batters,32.0,,205,,
Tennessee,SEC,Hit Batters,33.0,,214,,
Kentucky,SEC,Hit Batters,34.0,,222,,
LSU,SEC,Hit Batters,35.0,,235,,
Florida,SEC,Hit Batters,48.0,,288,,
