Team,Conference,Stat Type,Value,Conference Rank,National Rank,National Leader (Team Name or Player Name),NL_Value
Oregon,Big Ten,Fielding Percentage,0.982,,4.0,Fla. Atlantic,0.985
UCLA,Big Ten,Fielding Percentage,0.979,,10.0,,
Michigan,Big Ten,Fielding Percentage,0.976,,13.0,,
Washington,Big Ten,Fielding Percentage,0.973,,24.0,,
Iowa,Big Ten,Fielding Percentage,0.973,,27.0,,
Ohio St.,Big Ten,Fielding Percentage,0.967,,95.0,,
Nebraska,Big Ten,Fielding Percentage,0.965,,113.0,,
Purdue,Big Ten,Fielding Percentage,0.961,,147.0,,
Maryland,Big Ten,Fielding Percentage,0.961,,149.0,,
Wisconsin,Big Ten,Fielding Percentage,0.96,,157.0,,
Northwestern,Big Ten,Fielding Percentage,0.959,,174.0,,
Penn St.,Big Ten,Fielding Percentage,0.957,,186.0,,
Illinois,Big Ten,Fielding Percentage,0.957,,187.0,,
Indiana,Big Ten,Fielding Percentage,0.955,,198.0,,
Minnesota,Big Ten,Fielding Percentage,0.952,,229.0,,
Rutgers,Big Ten,Fielding Percentage,0.952,,230.0,,
Michigan St.,Big Ten,Fielding Percentage,0.948,,251.0,,
Oregon,Big Ten,Hit Batters,19.0,,57.0,Ark.-Pine Bluff,8.0
Purdue,Big Ten,Hit Batters,19.0,,57.0,Western Mich.,8.0
Illinois,Big Ten,Hit Batters,25.0,,116.0,,
Maryland,Big Ten,Hit Batters,30.0,,166.0,,
Ohio St.,Big Ten,Hit Batters,30.0,,166.0,,
UCLA,Big Ten,Hit Batters,31.0,,178.0,,
Wisconsin,Big Ten,Hit Batters,31.0,,178.0,,
Washington,Big Ten,Hit Batters,32.0,,187.0,,
Iowa,Big Ten,Hit Batters,33.0,,200.0,,
Penn St.,Big Ten,Hit Batters,33.0,,200.0,,
Minnesota,Big Ten,Hit Batters,34.0,,209.0,,
Northwestern,Big Ten,Hit Batters,34.0,,209.0,,
Michigan,Big Ten,Hit Batters,35.0,,221.0,,
Nebraska,Big Ten,Hit Batters,36.0,,227.0,,
Indiana,Big Ten,Hit Batters,37.0,,237.0,,
Rutgers,Big Ten,Hit Batters,37.0,,237.0,,
Michigan St.,Big Ten,Hit Batters,39.0,,251.0,,
